Frame,CaptureTime,LogTime,HMDPositionX,HMDPositionY,HMDPositionz,HMDRotationX,HMDRotationY,HMDRotationZ,HMDRotationHuh,GazeStatus,CombinedGazeForwardX,CombinedGazeForwardY,CombinedGazeForwardZ,CombinedGazePositionX,CombinedGazePositionY,CombinedGazePositionZ,InterPupillaryDistanceInMM,LeftEyeStatus,LeftEyeForwardX,LeftEyeForwardY,LeftEyeForwardZ,LeftEyePositionX,LeftEyePositionY,LeftEyePositionZ,LeftPupilIrisDiameterRatio,LeftPupilDiameterInMM,LeftIrisDiameterInMM,left Eye Openness,RightEyeStatus,RightEyeForwardX,RightEyeForwardY,RightEyeForwardZ,RightEyePositionX,RightEyePositionY,RightEyePositionZ,RightPupilIrisDiameterRatio,RightPupilDiameterInMM,RightIrisDiameterInMM,Right Eye Openness,FocusDistance,FocusStability
175365,1.00000112896912e+18,63875741920341,0.033,1.439,-0.018,0.056,-0.022,-0.008,0.998,NaN,0.09,0.236,0.968,0,0,0,64.325,NaN,0.133,0.187,0.973,-0.032,0,0,0.66,4.231,6.415,0.917,NaN,0.089,0.236,0.968,0.032,0,0,0.71,4.527,6.373,0.913,0.6361062,0.3482583
175366,1.00000112897414e+18,63875741920341,0.033,1.439,-0.018,0.056,-0.022,-0.008,0.998,NaN,0.09,0.236,0.968,0,0,0,64.325,NaN,0.133,0.186,0.974,-0.032,0,0,0.659,4.231,6.415,0.917,NaN,0.089,0.236,0.968,0.032,0,0,0.712,4.539,6.373,0.913,0.6294022,0.3139404
175367,1.00000112897915e+18,63875741920341,0.033,1.439,-0.018,0.056,-0.022,-0.008,0.998,NaN,0.09,0.235,0.968,0,0,0,64.325,NaN,0.131,0.188,0.973,-0.032,0,0,0.659,4.23,6.415,0.916,NaN,0.09,0.236,0.968,0.032,0,0,0.715,4.558,6.373,0.912,0.6603686,0.2631154
175368,1.00000112898416e+18,63875741920341,0.033,1.439,-0.018,0.056,-0.022,-0.008,0.998,NaN,0.09,0.235,0.968,0,0,0,64.325,NaN,0.128,0.192,0.973,-0.032,0,0,0.659,4.23,6.415,0.915,NaN,0.09,0.236,0.968,0.032,0,0,0.717,4.568,6.373,0.912,0.729781,0.250058
175369,1.00000112898921e+18,63875741920341,0.033,1.439,-0.018,0.056,-0.022,-0.008,0.998,NaN,0.09,0.235,0.968,0,0,0,64.325,NaN,0.124,0.197,0.973,-0.032,0,0,0.659,4.23,6.415,0.913,NaN,0.09,0.235,0.968,0.032,0,0,0.717,4.572,6.373,0.91,2,0.2170381
175370,1.00000112899423e+18,63875741920341,0.033,1.439,-0.018,0.056,-0.022,-0.008,0.998,NaN,0.091,0.235,0.968,0,0,0,64.325,NaN,0.124,0.203,0.971,-0.032,0,0,0.659,4.229,6.415,0.91,NaN,0.09,0.235,0.968,0.032,0,0,0.718,4.573,6.373,0.908,2,0.006211054
175371,1.00000112899924e+18,63875741920341,0.033,1.439,-0.018,0.056,-0.022,-0.008,0.998,NaN,0.091,0.234,0.968,0,0,0,64.325,NaN,0.124,0.199,0.972,-0.032,0,0,0.659,4.226,6.415,0.906,NaN,0.089,0.234,0.968,0.032,0,0,0.718,4.573,6.373,0.903,2,0
175372,1.00000112900426e+18,63875741920341,0.033,1.439,-0.018,0.056,-0.022,-0.008,0.998,NaN,0.091,0.232,0.968,0,0,0,64.325,NaN,0.125,0.197,0.972,-0.032,0,0,0.655,4.199,6.415,0.898,NaN,0.089,0.233,0.969,0.032,0,0,0.717,4.572,6.373,0.895,2,0
175373,1.00000112900928e+18,63875741920341,0.033,1.439,-0.018,0.056,-0.022,-0.008,0.998,NaN,0.09,0.231,0.969,0,0,0,64.325,NaN,0.125,0.195,0.973,-0.032,0,0,0.65,4.17,6.415,0.887,NaN,0.089,0.231,0.969,0.032,0,0,0.717,4.571,6.373,0.884,2,0
175374,1.00000112901431e+18,63875741920341,0.033,1.439,-0.018,0.056,-0.022,-0.008,0.998,NaN,0.09,0.226,0.97,0,0,0,64.325,NaN,0.126,0.192,0.973,-0.032,0,0,0.638,4.091,6.415,0.872,NaN,0.089,0.226,0.97,0.032,0,0,0.715,4.559,6.373,0.868,2,0
